1292,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,2
1402,9,939,131,1140,114,1555,1074,11.9,54,0.7502,2.2
1376,9.2,948,172,1092,122,1584,1203,11,60,0.7867,2.2
1197,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848,1.2
1185,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603,1.2
1052,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353,0.7
1333,8,900,174,1136,112,1517,1102,10.8,57.4,0.7408,2
1371,11.5,1034,207,983,128,1730,1037,8,81.1,0.8736,2.9
1292,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569,2.2
1383,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185,2.9
1843,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478,6.6
1280,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597,2.7
978,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982,1
1100,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887,1.2
1336,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945,2.7
1451,14,1117,239,875,161,1679,1387,18.4,33.8,0.709,3.6
1207,8.6,924,118,1088,102,1488,850,18,34.8,0.7127,2
1306,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012,2.5
1062,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533,1.2
1155,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,1.4
1235,6.4,828,118,1055,83,1527,1093,12.4,60,0.8627,1.6
1332,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728,2.2
1258,8.2,906,112,1081,107,1511,900,21.9,29,0.7525,1.9
1478,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307,2.5
1239,7.4,872,104,985,99,1547,1250,14.8,54.7,0.9164,1.8
1075,3.9,703,88,1156,74,1464,1010,11.9,67.4,0.9375,1
1314,9.7,966,228,897,89,1710,1235,11.3,70.2,0.9401,2.2
1797,25.9,1451,360,652,114,2323,1680,12.4,63.9,0.917,5.5
1961,36.7,1701,478,537,149,2665,2184,14.8,54.3,0.9076,8.1
1430,14.1,1120,201,831,134,1783,1522,22,34.1,0.8904,3.1
1400,15.4,1162,159,838,111,1829,1263,23.9,30,0.8757,2.9
1317,12.1,1053,153,926,104,1707,1137,24.4,28.9,0.8736,2.5
1917,32.1,1601,314,631,162,2447,1843,22.5,35.4,0.9547,6.1
1895,31,1573,320,565,165,2443,1992,18.3,52.6,1.0945,6.5
1142,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,1.4
937,2,585,38,1412,52,1348,793,12.8,63.2,0.9283,0.6
1407,16.6,1197,184,905,129,1759,1313,28.2,18.6,0.7014,2.9
1447,17.8,1235,184,859,139,1778,1296,23.9,25.7,0.7519,3.4
1551,19.1,1271,181,800,137,1875,1432,21.3,34.8,0.873,3.9
1474,15.8,1173,166,854,143,1776,1432,20.4,36.7,0.8704,3.2
869,1.6,554,28,1460,40,1268,667,11.8,58,0.8026,0.5
1173,7.5,878,160,1038,84,1556,1052,9.9,65.2,0.7956,1.6
1587,21.4,1334,320,702,108,1999,1534,11.1,60.2,0.7958,4.1
1522,21.3,1331,280,703,134,2026,1734,17.7,40.1,0.8048,4.3
1438,15.4,1161,221,819,135,1782,1595,21.1,33.4,0.8265,2.9
1389,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,2.6
1207,10.4,994,135,1013,104,1520,1045,26.8,18.7,0.65,2
1973,38.4,1737,411,617,194,2414,2306,23.1,26.5,0.7403,7.6
1444,15,1150,202,770,136,1727,1727,17.2,44.1,0.8558,2.8
1371,13,1083,154,796,116,1669,1551,14.8,53.9,0.9024,2.3
1385,12.2,1056,149,891,133,1648,1268,24.2,28.7,0.8515,2.2
1496,16.8,1205,172,822,169,1767,1347,27.1,23.1,0.818,2.8
1667,26,1453,276,684,176,2051,1569,18.6,36.2,0.7676,5.1
1333,10.3,989,129,885,121,1621,1194,14.5,57.8,0.9456,2.1
1262,8.3,911,95,948,99,1545,1062,13.1,64.2,0.9606,1.7
969,2.3,607,56,1373,61,1324,438,12.3,66.3,0.9487,0.7
1182,6.7,845,115,1054,99,1539,704,12.4,64.9,0.9332,1.5
1740,22.8,1372,320,671,157,2144,1476,13,61.6,0.9209,4.8
1390,16.4,1191,218,759,135,1879,1268,14.5,54.4,0.8917,3.3
1283,14,1117,192,813,127,1751,1188,15.5,50.1,0.8744,2.8
1442,20.2,1301,231,704,146,1952,1372,15.8,50.3,0.8989,4.1
1175,9.1,945,143,904,116,1604,1081,14.7,57.6,0.9573,2.2
1215,8.3,912,127,948,109,1547,993,14.2,58.3,0.938,2.1
1425,12.5,1068,166,776,107,1764,1341,15,52.3,0.8881,2.6
1490,11.7,1039,182,782,108,1757,1422,16.3,50,0.9158,2.6
1305,7.6,884,95,980,87,1573,927,19.5,42.3,0.9476,1.7
1633,16.6,1199,215,734,136,1919,1417,17.4,51.6,1.0159,3.5
1535,13.7,1108,206,785,125,1820,1323,16.4,53.8,0.9964,3.3
1309,8.9,937,122,905,97,1672,1036,15.9,57.7,1.0356,2.1
1456,10.6,999,175,835,107,1714,1202,15.7,58.6,1.0396,2.8
1300,7.4,872,133,941,90,1577,1054,15.1,60.9,1.0398,2.1
1065,3.6,687,72,1143,62,1492,815,14.2,66.2,1.063,0.8
1243,8.4,916,63,962,61,1669,657,21.2,39.3,0.9791,1.6
1208,6.9,853,98,1060,89,1506,647,20.3,38,0.8942,1.9
1501,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689,3.5
1605,15.1,1153,266,769,144,1840,1637,17.9,46.9,0.952,4.3
1316,9.9,974,188,883,123,1673,1272,17.4,49.1,0.9688,2.8
1095,5.1,767,74,1050,76,1547,818,15.8,60.5,1.0805,1.5
845,0.7,472,15,1786,23,1278,378,16.5,53.9,1.0049,0.3
1074,6.9,854,115,1032,83,1484,772,17.9,38.4,0.7793,1.8
1094,10.7,1003,130,965,99,1574,813,21.3,26.8,0.6681,2.1
1407,18.3,1249,213,720,129,1932,1276,17,43.1,0.8264,3.8
1006,4.3,729,65,1142,80,1370,795,14.5,49.4,0.8106,1.1
969,2.7,636,47,1271,64,1309,684,14,51.3,0.8163,0.8
941,2.5,621,51,1298,70,1330,714,13,56.8,0.8444,0.7
1498,21,1325,244,684,132,2095,1329,11.2,69.7,0.9232,3.8
1343,16.2,1185,237,760,132,1857,1311,12,62.9,0.8803,3.4
1112,10.1,980,131,924,99,1589,900,14.1,49.8,0.7971,1.9
1132,8.7,927,128,944,100,1570,781,12,61.1,0.8537,2
1089,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881,1.7
1041,5.4,782,78,1105,86,1425,911,11,61.4,0.8057,1.3
948,2.7,634,43,1320,61,1326,715,11.3,60,0.8025,0.9
892,1.2,522,34,1572,54,1255,648,10.9,58.6,0.7628,0.6
1045,4.8,751,79,1186,75,1403,800,10.4,59.2,0.7455,1.2
1318,14.2,1124,218,762,113,1770,1287,12.1,54.9,0.7734,3.4
1138,8,898,136,950,88,1505,966,15.1,44.3,0.7535,1.7
1118,8.7,927,119,959,96,1477,825,16.9,34.6,0.6597,1.7
1170,10.8,1009,126,879,106,1566,872,16.6,35.6,0.6697,2.2
1353,13.4,1096,195,774,130,1783,1159,11.7,69.1,0.9497,2.8
997,4.5,737,80,1168,89,1341,631,10.3,59.9,0.7516,1.3
970,2.5,621,42,1400,58,1249,479,11,58.4,0.7686,1
902,1.8,568,38,1450,54,1253,479,9.1,68.1,0.789,0.7
893,1.4,540,43,1604,51,1268,413,7.6,83.2,0.8695,0.6
1038,3.8,697,84,1260,82,1383,605,8.1,79,0.8544,1.1
1027,5.9,809,106,1081,88,1442,733,13.6,53,0.8209,1.3
1351,16.7,1201,239,783,110,1828,1307,9.8,59.6,0.7214,3.4
1408,19.3,1278,275,682,114,1928,1481,11.2,57,0.7544,3.8
1304,14.8,1142,232,772,119,1747,1405,14.8,44.1,0.7407,3.1
1207,13.4,1098,180,826,121,1664,1195,16.8,35.3,0.6729,2.7
1099,11,1014,112,948,97,1503,868,19.2,27.1,0.5976,2
1009,8.4,916,103,1015,85,1391,738,16.3,30.8,0.5683,1.9
962,5.3,776,89,1152,75,1279,550,14.2,36.8,0.5922,1.3
1180,11.2,1023,127,886,102,1588,966,14.2,43.3,0.6982,2.3
1168,12.4,1063,120,876,98,1540,944,10.4,48,0.6046,2.7
1046,4.5,736,75,1142,78,1312,838,8.1,62.1,0.6746,1.2
935,2.4,615,54,1373,59,1250,717,6.3,66.6,0.641,0.9
1163,8.5,919,128,922,84,1530,1076,11.1,50.5,0.6654,1.8
1121,9.4,955,130,992,99,1451,834,17.8,29.2,0.592,2.1
1148,8.8,930,140,948,107,1475,1056,12.5,48.1,0.6946,2.2
1108,6.8,848,102,1023,96,1421,1003,11.8,50.8,0.7042,1.6
1231,8.6,924,130,906,105,1483,1245,10.9,56.1,0.7326,2.1
1293,8.9,937,121,930,102,1464,1200,10.9,55.9,0.7277,2.3
1274,8.3,912,111,939,97,1451,1188,10.3,58.1,0.7278,2.3
1024,4.7,747,105,1136,75,1382,897,9.7,58.6,0.7035,1.3
1210,9.5,958,126,933,96,1514,1036,19.2,31.3,0.6887,2.3
818,1.3,524,21,1588,31,1071,341,10.7,45.8,0.5895,0.6
840,1.1,509,22,1643,38,1076,352,10.4,46.6,0.5901,0.5
966,5.5,786,118,1111,98,1258,705,11.8,37.6,0.5184,1.5
975,5.6,793,119,1133,97,1254,637,13.9,33.2,0.5222,1.5
962,5.2,776,102,1131,81,1247,535,18.2,26.1,0.5387,1.4
1127,8.2,907,108,957,106,1404,796,14.5,35.4,0.5839,2.1
899,2.6,630,57,1418,76,1050,425,13.1,26.8,0.4023,1
1565,21,1324,320,695,159,1872,1688,17.9,28.2,0.5741,4.7
1264,8.7,928,132,884,102,1534,1035,15.9,43.5,0.779,2.4
972,2.8,639,47,1222,70,1256,678,14.8,40.8,0.6834,0.9
1430,11.3,1025,204,779,123,1772,1166,12.3,73.3,1.0442,2.9
1242,9.1,944,149,846,114,1638,991,11.3,78.1,1.0411,2.2
1224,10.1,980,152,850,111,1637,1055,15.7,50.9,0.8997,2.3
1253,11.3,1026,128,810,103,1681,1048,15.2,52.9,0.9087,2.4
1060,5.5,787,81,1044,91,1418,833,12.6,57,0.8315,1.5
996,2.9,648,64,1176,50,1340,852,11,63.7,0.8325,0.9
1510,19.8,1291,342,675,94,1949,1435,9.5,69.6,0.8273,4.2
1529,21.2,1331,211,700,132,2028,1399,22.8,32.1,0.8814,4.2
1203,8.5,920,122,898,103,1529,1118,14.9,52,0.8757,2
1341,15.9,1176,167,748,135,1825,1347,22.9,33.8,0.9322,3.1
1620,24.1,1407,215,641,154,2052,1567,21.2,40.1,0.9978,4.7
